feature,importance
V14,0.3728053
V14_x_V10,0.2626587
V4,0.043491997
V8,0.021978281
Is_Night,0.020176489
V17,0.019760381
V12,0.018215878
V11,0.013212379
V14_x_V12,0.012813011
Amount,0.012291011
V_std,0.011570671
V9,0.0098146945
V5,0.009701138
V3,0.009522777
V10,0.009419936
V1,0.009330896
V7,0.009206242
V19,0.009176404
V18,0.009058958
V16,0.008731042
V20,0.00865184
V25,0.008651204
V22,0.007507158
V13,0.007023796
V23,0.006848317
V26,0.006830495
V15,0.006383276
V28,0.0062595685
Amount_log,0.0058893287
V_mean,0.005886223
V21,0.0055293157
Time,0.005399797
V2,0.005397287
Hour,0.005367456
V_skew,0.0047516394
V6,0.0043708854
V24,0.0032386812
V27,0.0030776206
